Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,10.0,,Normal value,Units,Percent,Manufacturing value added as a proportion of GDP [9.2.1]
2015,10.0,,Normal value,Units,Percent,Manufacturing value added as a proportion of GDP [9.2.1]
2016,9.3,,Normal value,Units,Percent,Manufacturing value added as a proportion of GDP [9.2.1]
2017,8.7,,Normal value,Units,Percent,Manufacturing value added as a proportion of GDP [9.2.1]
2018,8.4,,Normal value,Units,Percent,Manufacturing value added as a proportion of GDP [9.2.1]
2019,7.9,,Normal value,Units,Percent,Manufacturing value added as a proportion of GDP [9.2.1]
2020,7.6,,Normal value,Units,Percent,Manufacturing value added as a proportion of GDP [9.2.1]
2021,7.4,,Normal value,Units,Percent,Manufacturing value added as a proportion of GDP [9.2.1]
2022,7.7,,Normal value,Units,Percent,Manufacturing value added as a proportion of GDP [9.2.1]
2023,7.5,,Normal value,Units,Percent,Manufacturing value added as a proportion of GDP [9.2.1]
2024,7.3,,Normal value,Units,Percent,Manufacturing value added as a proportion of GDP [9.2.1]
2014,12511.6,,Normal value,Units,Kenyan Shillings,Manufacturing value added per capita [9.2.1]
2015,13600.4,,Normal value,Units,Kenyan Shillings,Manufacturing value added per capita [9.2.1]
2016,14773.3,,Normal value,Units,Kenyan Shillings,Manufacturing value added per capita [9.2.1]
2017,15735.3,,Normal value,Units,Kenyan Shillings,Manufacturing value added per capita [9.2.1]
2018,16926.1,,Normal value,Units,Kenyan Shillings,Manufacturing value added per capita [9.2.1]
2019,17001.1,,Normal value,Units,Kenyan Shillings,Manufacturing value added per capita [9.2.1]
2020,16687.0,,Normal value,Units,Kenyan Shillings,Manufacturing value added per capita [9.2.1]
2021,17819.6,,Normal value,Units,Kenyan Shillings,Manufacturing value added per capita [9.2.1]
2022,20636.2,,Normal value,Units,Kenyan Shillings,Manufacturing value added per capita [9.2.1]
2023,22308.0,,Normal value,Units,Kenyan Shillings,Manufacturing value added per capita [9.2.1]
2024,22438.1,,Normal value,Units,Kenyan Shillings,Manufacturing value added per capita [9.2.1]
