Year,Value,GeoCode,UNIT_MEASURE,SERIES
2018,70.0,,Percent,Extent of use of country-owned planning tools by providers of development cooperation - data by provider
2020,99.0,,Percent,Extent of use of country-owned planning tools by providers of development cooperation - data by provider
