Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2019,6219.8,,Normal value,Millions,Kenyan Shillings,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2020,15520.1,,Normal value,Millions,Kenyan Shillings,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2021,15981.0,,Normal value,Millions,Kenyan Shillings,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2022,28138.6,,Normal value,Millions,Kenyan Shillings,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2023,33238.8,,Normal value,Millions,Kenyan Shillings,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
2024,34387.1,,Normal value,Millions,Kenyan Shillings,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]"
