Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,36.0,,Percent,Proportion of household with access to electricity
2016,41.5,,Percent,Proportion of household with access to electricity
2018,46.0,,Percent,Proportion of household with access to electricity
2019,50.4,,Percent,Proportion of household with access to electricity
2022,49.6,,Percent,Proportion of household with access to electricity
2024,58.1,,Percent,Proportion of household with access to electricity
2014,35.3,,Percent,Proportion of population with access to electricity [7.1.1]
2016,33.8,,Percent,Proportion of population with access to electricity [7.1.1]
2019,49.7,,Percent,Proportion of population with access to electricity [7.1.1]
2024,51.5,,Percent,Proportion of population with access to electricity [7.1.1]
2019,69.8,,Percent,Proportion of households with access to electricity (Grid and Solar Systems)
2024,65.5,,Percent,Proportion of households with access to electricity (Grid and Solar Systems)
2022,49.6,,Percent,Proportion of population with access to electricity (Grid and Solar Systems)
2024,60.6,,Percent,Proportion of population with access to electricity (Grid and Solar Systems)
