Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,-0.6,,Normal value,Units,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2015,2.7,,Normal value,Units,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2016,0.4,,Normal value,Units,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2017,-1.0,,Normal value,Units,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2018,1.3,,Normal value,Units,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2019,0.2,,Normal value,Units,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2020,3.9,,Normal value,Units,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2021,2.2,,Normal value,Units,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2022,0.4,,Normal value,Units,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2023,1.1,,Normal value,Units,Percent,Annual growth rate of real GDP per employed person [8.2.1]
2024,0.8,,Normal value,Units,Percent,Annual growth rate of real GDP per employed person [8.2.1]
