Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,27.0,,Percent,Labour share of GDP [10.4.1]
2015,26.9,,Percent,Labour share of GDP [10.4.1]
2016,28.1,,Percent,Labour share of GDP [10.4.1]
2017,28.2,,Percent,Labour share of GDP [10.4.1]
2018,28.9,,Percent,Labour share of GDP [10.4.1]
2019,28.9,,Percent,Labour share of GDP [10.4.1]
2020,28.5,,Percent,Labour share of GDP [10.4.1]
2021,27.9,,Percent,Labour share of GDP [10.4.1]
2022,27.1,,Percent,Labour share of GDP [10.4.1]
2023,26.3,,Percent,Labour share of GDP [10.4.1]
2024,25.9,,Percent,Labour share of GDP [10.4.1]
