Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2015,1.3,,Normal value,Units,Percent,"Proportion of the population who are refugees, by country of origin"
2016,1.1,,Normal value,Units,Percent,"Proportion of the population who are refugees, by country of origin"
2017,1.0,,Normal value,Units,Percent,"Proportion of the population who are refugees, by country of origin"
2018,1.0,,Normal value,Units,Percent,"Proportion of the population who are refugees, by country of origin"
2019,1.0,,Normal value,Units,Percent,"Proportion of the population who are refugees, by country of origin"
2020,1.0,,Normal value,Units,Percent,"Proportion of the population who are refugees, by country of origin"
2021,1.1,,Normal value,Units,Percent,"Proportion of the population who are refugees, by country of origin"
2022,1.13,,Normal value,Units,Percent,"Proportion of the population who are refugees, by country of origin"
2023,1.34,,Normal value,Units,Percent,"Proportion of the population who are refugees, by country of origin"
2024,1.16,,Normal value,Units,Percent,"Proportion of the population who are refugees, by country of origin"
