Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,137.3,,Normal value,Units,Metric Tons,Stocks of intercepted wildlife products - Proxy
2016,40.6,,Normal value,Units,Metric Tons,Stocks of intercepted wildlife products - Proxy
2017,56.3,,Normal value,Units,Metric Tons,Stocks of intercepted wildlife products - Proxy
2014,137.3,,Normal value,Units,Metric Tons,"Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1,15.c.1]"
2016,40.6,,Normal value,Units,Metric Tons,"Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1,15.c.1]"
2017,56.3,,Normal value,Units,Metric Tons,"Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1,15.c.1]"
