Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,84.7,,Normal value,Units,Percent,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]"
2015,81.6,,Normal value,Units,Percent,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]"
2016,81.9,,Normal value,Units,Percent,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]"
2017,82.2,,Normal value,Units,Percent,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]"
2018,82.6,,Normal value,Units,Percent,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]"
2019,83.0,,Normal value,Units,Percent,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]"
2020,83.4,,Normal value,Units,Percent,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]"
2021,83.3,,Normal value,Units,Percent,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]"
2022,83.4,,Normal value,Units,Percent,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]"
2023,85.0,,Normal value,Units,Percent,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]"
2024,83.6,,Normal value,Units,Percent,"Proportion of informal employment, by sector and sex - 13th ICLS [8.3.1]"
