Year,Value,GeoCode,UNIT_MEASURE,SERIES
2016,33.8,,Percent,Proportion of population with access to electricity
2022,49.6,,Percent,Proportion of population with access to electricity
2024,65.5,,Percent,Proportion of population with access to electricity
