Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2016,70.4,,Normal value,Units,Percent,Proportion of population that feel safe walking alone around the area they live in [16.1.4]
2024,61.0,,Normal value,Units,Percent,Proportion of population that feel safe walking alone around the area they live in [16.1.4]
