Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2016,50323,,Normal value,Units,Number,Plant genetic resources accessions stored ex situ (number) [2.5.1]
2019,51405,,Normal value,Units,Number,Plant genetic resources accessions stored ex situ (number) [2.5.1]
