Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2016,33.8,,Normal value,Units,Percent,Proportion of population with access to electricity
2022,49.6,,Normal value,Units,Percent,Proportion of population with access to electricity
2024,65.5,,Normal value,Units,Percent,Proportion of population with access to electricity
2024,66.0,,Normal value,Units,Percent,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2]
