Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,0,,Boolean or binary measure,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1]
2015,0,,Boolean or binary measure,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1]
2016,1,,Boolean or binary measure,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1]
2017,1,,Boolean or binary measure,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1]
2018,1,,Boolean or binary measure,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1]
2019,1,,Boolean or binary measure,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1]
2020,1,,Boolean or binary measure,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1]
2021,1,,Boolean or binary measure,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1]
2022,1,,Boolean or binary measure,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1]
2023,1,,Boolean or binary measure,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1]
2024,1,,Boolean or binary measure,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1]
