Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2015,100.0,,Normal value,Units,Index,Global food loss index [12.3.1]
2016,87.5,,Normal value,Units,Index,Global food loss index [12.3.1]
2017,91.6,,Normal value,Units,Index,Global food loss index [12.3.1]
2018,97.8,,Normal value,Units,Index,Global food loss index [12.3.1]
2019,99.8,,Normal value,Units,Index,Global food loss index [12.3.1]
2020,100.5,,Normal value,Units,Index,Global food loss index [12.3.1]
2021,98.5,,Normal value,Units,Index,Global food loss index [12.3.1]
2022,100.1,,Normal value,Units,Index,Global food loss index [12.3.1]
2023,98.0,,Normal value,Units,Index,Global food loss index [12.3.1]
2024,100.3,,Normal value,Units,Index,Global food loss index [12.3.1]
