Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,6.4,,Normal value,Units,Percent,_L_KE_100C01_01
2015,6.0,,Normal value,Units,Percent,_L_KE_100C01_01
2016,8.5,,Normal value,Units,Percent,_L_KE_100C01_01
2017,8.3,,Normal value,Units,Percent,_L_KE_100C01_01
2018,8.2,,Normal value,Units,Percent,_L_KE_100C01_01
2019,8.4,,Normal value,Units,Percent,_L_KE_100C01_01
2020,8.4,,Normal value,Units,Percent,_L_KE_100C01_01
2021,9.1,,Normal value,Units,Percent,_L_KE_100C01_01
2022,8.0,,Normal value,Units,Percent,_L_KE_100C01_01
2023,8.3,,Normal value,Units,Percent,_L_KE_100C01_01
2024,10.6,,Normal value,Units,Percent,_L_KE_100C01_01
