Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2014,10.3,,Normal value,Units,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2015,6.2,,Normal value,Units,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2016,8.4,,Normal value,Units,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2017,11.4,,Normal value,Units,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2018,18.9,,Normal value,Units,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2019,34.5,,Normal value,Units,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2020,25.2,,Normal value,Units,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2021,17.9,,Normal value,Units,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2022,21.1,,Normal value,Units,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
2023,26.0,,Normal value,Units,Percent,Debt service as a proportion of exports of goods and services [17.4.1]
