Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,2e-05,,Tonnes of Oil equivalent per USD,Energy intensity level of primary energy [7.3.1]
2015,2.1e-05,,Tonnes of Oil equivalent per USD,Energy intensity level of primary energy [7.3.1]
2016,2e-05,,Tonnes of Oil equivalent per USD,Energy intensity level of primary energy [7.3.1]
2017,1.8e-05,,Tonnes of Oil equivalent per USD,Energy intensity level of primary energy [7.3.1]
2018,1.8e-05,,Tonnes of Oil equivalent per USD,Energy intensity level of primary energy [7.3.1]
2019,1.8e-05,,Tonnes of Oil equivalent per USD,Energy intensity level of primary energy [7.3.1]
2020,3.4e-05,,Tonnes of Oil equivalent per USD,Energy intensity level of primary energy [7.3.1]
2021,3.4e-05,,Tonnes of Oil equivalent per USD,Energy intensity level of primary energy [7.3.1]
2022,2e-05,,Tonnes of Oil equivalent per USD,Energy intensity level of primary energy [7.3.1]
2023,1.5e-05,,Tonnes of Oil equivalent per USD,Energy intensity level of primary energy [7.3.1]
2024,2e-05,,Tonnes of Oil equivalent per USD,Energy intensity level of primary energy [7.3.1]
