Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2019,1.372354,,Normal value,Units,Index,Indicator of Food Price Anomalies - Sorghum
2020,-0.346259,,Normal value,Units,Index,Indicator of Food Price Anomalies - Sorghum
2021,-1.350883,,Normal value,Units,Index,Indicator of Food Price Anomalies - Sorghum
2022,-0.30607,,Normal value,Units,Index,Indicator of Food Price Anomalies - Sorghum
2023,0.596598,,Normal value,Units,Index,Indicator of Food Price Anomalies - Sorghum
2024,9.2e-05,,Normal value,Units,Index,Indicator of Food Price Anomalies - Sorghum
