Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2015,SI_COV_BENFTS,,,PT,A,0,,4.5
2016,SI_COV_BENFTS,,,PT,A,0,,4.4
2017,SI_COV_BENFTS,,,PT,A,0,,4.2
2018,SI_COV_BENFTS,,,PT,A,0,,4.0
2019,SI_COV_BENFTS,,,PT,A,0,,3.3
2020,SI_COV_BENFTS,,,PT,A,0,,3.2
2021,SI_COV_BENFTS,,,PT,A,0,,2.9
2022,SI_COV_BENFTS,,,PT,A,0,,2.8
2015,SI_COV_DISAB,,,PT,A,0,,0.4
2016,SI_COV_DISAB,,,PT,A,0,,0.4
2017,SI_COV_DISAB,,,PT,A,0,,0.4
2018,SI_COV_DISAB,,,PT,A,0,,0.4
2019,SI_COV_DISAB,,,PT,A,0,,0.3
2020,SI_COV_DISAB,,,PT,A,0,,0.3
2021,SI_COV_DISAB,,,PT,A,0,,0.3
2022,SI_COV_DISAB,,,PT,A,0,,0.3
2018,SI_COV_PENSN,,,PT,A,0,,78.3
2019,SI_COV_PENSN,,,PT,A,0,,63.0
2020,SI_COV_PENSN,,,PT,A,0,,57.3
2021,SI_COV_PENSN,,,PT,A,0,,56.4
2022,SI_COV_PENSN,,,PT,A,0,,55.9
2024,SI_COV_PENSN,,,PT,A,0,,91.0
2018,SI_COV_PENSN,,F,PT,A,0,,87.3
2019,SI_COV_PENSN,,F,PT,A,0,,67.0
2020,SI_COV_PENSN,,F,PT,A,0,,68.4
2021,SI_COV_PENSN,,F,PT,A,0,,66.6
2022,SI_COV_PENSN,,F,PT,A,0,,65.1
2018,SI_COV_PENSN,,M,PT,A,0,,67.3
2019,SI_COV_PENSN,,M,PT,A,0,,57.7
2020,SI_COV_PENSN,,M,PT,A,0,,45.6
2021,SI_COV_PENSN,,M,PT,A,0,,45.3
2022,SI_COV_PENSN,,M,PT,A,0,,40.8
