Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2014,"Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1,15.c.1]",,Metric Tons,,137.3
2016,"Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1,15.c.1]",,Metric Tons,,40.6
2017,"Proportion of traded wildlife that was poached or illicitly trafficked [15.7.1,15.c.1]",,Metric Tons,,56.3
