Year,Value,SERIES
2014,74.9,SH_ACS_DTP3
2015,79.5,SH_ACS_DTP3
2016,78.3,SH_ACS_DTP3
2017,68.4,SH_ACS_DTP3
2018,81.6,SH_ACS_DTP3
2022,89.2,SH_ACS_DTP3
2022,66.8,SH_ACS_MCV2
2022,91.2,SH_ACS_PCV3
2014,79.4,SH_ACS_VACN
2022,80.1,SH_ACS_VACN
