Year,Value,SERIES
2014,34.9,_L_KE_110101_01
2019,37.2,_L_KE_110101_01
2014,23.2,_L_KE_110101_02
2019,14.9,_L_KE_110101_02
2014,10.6,_L_KE_110101_03
2019,4.2,_L_KE_110101_03
2014,2.7,_L_KE_110101_04
2019,0.9,_L_KE_110101_04
2014,71.4,_L_KE_110101_05
2019,57.3,_L_KE_110101_05
