Year,Value,SERIES
2015,93.2,GF_XPD_GBPC
2016,90.3,GF_XPD_GBPC
2017,91.5,GF_XPD_GBPC
2018,92.7,GF_XPD_GBPC
2019,118.0,GF_XPD_GBPC
2020,89.9,GF_XPD_GBPC
2021,112.0,GF_XPD_GBPC
2022,103.6,GF_XPD_GBPC
2023,106.8,GF_XPD_GBPC
2015,97.9,_L_KE_160601_01
2016,98.8,_L_KE_160601_01
2017,95.5,_L_KE_160601_01
2018,98.9,_L_KE_160601_01
2019,121.9,_L_KE_160601_01
2020,86.7,_L_KE_160601_01
2021,121.7,_L_KE_160601_01
2022,112.5,_L_KE_160601_01
2023,119.6,_L_KE_160601_01
2015,83.6,_L_KE_160601_02
2016,70.7,_L_KE_160601_02
2017,82.2,_L_KE_160601_02
2018,73.4,_L_KE_160601_02
2019,104.4,_L_KE_160601_02
2020,102.2,_L_KE_160601_02
2021,86.3,_L_KE_160601_02
2022,73.7,_L_KE_160601_02
2023,63.8,_L_KE_160601_02
