Year,Value,SERIES
2014,11.9,_L_KE_070102_01
2016,14.6,_L_KE_070102_01
2018,19.8,_L_KE_070102_01
2019,25.4,_L_KE_070102_01
2014,12.3,EG_EGY_CLEAN
2016,10.7,EG_EGY_CLEAN
2019,25.1,EG_EGY_CLEAN
2022,21.2,EG_EGY_CLEAN
