Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,GeoCode,Value
2014,_L_KE_110101_01,,PT,A,0,2019,Proportion of urban population living in a household that lacks one of the four housing conditions,,34.9
2019,_L_KE_110101_01,,PT,A,0,2019,Proportion of urban population living in a household that lacks one of the four housing conditions,,37.2
2014,_L_KE_110101_02,,PT,A,0,2019,Proportion of urban population living in a household that lacks two of the four housing conditions,,23.2
2019,_L_KE_110101_02,,PT,A,0,2019,Proportion of urban population living in a household that lacks two of the four housing conditions,,14.9
2014,_L_KE_110101_03,,PT,A,0,2019,Proportion of urban population living in a household that three of the four housing conditions,,10.6
2019,_L_KE_110101_03,,PT,A,0,2019,Proportion of urban population living in a household that three of the four housing conditions,,4.2
2014,_L_KE_110101_04,,PT,A,0,2019,Proportion of urban population living in a household that lacks all the four housing conditions,,2.7
2019,_L_KE_110101_04,,PT,A,0,2019,Proportion of urban population living in a household that lacks all the four housing conditions,,0.9
2014,_L_KE_110101_05,,PT,A,0,2019,"Proportion of urban population lacking at least one of the one of the four housing conditions (Access to improved water; Access to improved sanitation facilities; Sufficient-living area, not overcrowded;housing durability)",,71.4
2019,_L_KE_110101_05,,PT,A,0,2019,"Proportion of urban population lacking at least one of the one of the four housing conditions (Access to improved water; Access to improved sanitation facilities; Sufficient-living area, not overcrowded;housing durability)",,57.3
2014,EN_LND_SLUM,,PT,A,0,2019,Proportion of urban population living in informal settlements,,7.9
2019,EN_LND_SLUM,,PT,A,0,2019,Proportion of urban population living in informal settlements,,6.9
