Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Time period details,GeoCode,Value
2014,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,20 to 24 years old,,Percent,2022,,15.1
2016,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,20 to 24 years old,,Percent,2022,,19.2
2019,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,20 to 24 years old,,Percent,2022,,16.0
2020,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,20 to 24 years old,,Percent,2022,,17.7
2021,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,20 to 24 years old,,Percent,2022,,11.8
2022,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,20 to 24 years old,,Percent,2022,,14.9
2014,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,25 to 29 years old,,Percent,2022,,9.9
2016,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,25 to 29 years old,,Percent,2022,,9.0
2019,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,25 to 29 years old,,Percent,2022,,7.9
2020,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,25 to 29 years old,,Percent,2022,,10.2
2021,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,25 to 29 years old,,Percent,2022,,9.2
2022,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,25 to 29 years old,,Percent,2022,,10.2
2014,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,30 to 34 years old,,Percent,2022,,7.2
2016,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,30 to 34 years old,,Percent,2022,,4.6
2019,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,30 to 34 years old,,Percent,2022,,3.9
2020,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,30 to 34 years old,,Percent,2022,,6.4
2021,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,30 to 34 years old,,Percent,2022,,6.0
2022,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,30 to 34 years old,,Percent,2022,,3.5
2014,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,35 to 39 years old,,Percent,2022,,6.1
2016,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,35 to 39 years old,,Percent,2022,,3.7
2019,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,35 to 39 years old,,Percent,2022,,3.0
2020,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,35 to 39 years old,,Percent,2022,,4.2
2021,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,35 to 39 years old,,Percent,2022,,3.6
2022,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,35 to 39 years old,,Percent,2022,,2.8
2014,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,40 to 44 years old,,Percent,2022,,5.8
2016,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,40 to 44 years old,,Percent,2022,,2.7
2019,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,40 to 44 years old,,Percent,2022,,3.3
2020,Normal value,Units,"2014:  KDHS               2016:  KIHBS           2019:  KPHC              2020:  KCHS              2021:  KCHS                    2022       KCHS, ,","Unemployment rate, by sex and age - 13th ICLS (%) [8.5.2]",,,40 to 44 years old,,Percent,2022,,4.9
