Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,Sex,Degree of urbanisation,Education level,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Time period details,GeoCode,Value
2017,Normal value,Units,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Reading,Percent,2023,,52.2
2018,Normal value,Units,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Reading,Percent,2023,,52.7
2019,Normal value,Units,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Reading,Percent,2023,,51.5
2020,Normal value,Units,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Reading,Percent,2023,,52.8
2021,Normal value,Units,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Reading,Percent,2023,,53.2
2022,Normal value,Units,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Reading,Percent,2023,,53.1
2023,Normal value,Units,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,,"Primary education, sufficient for level completion",Skill: Reading,Percent,2023,,25.5
2017,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,Rural,Grade 2/3,Skill: Mathematics,Percent,2019,,71.9
2018,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,Rural,Grade 2/3,Skill: Mathematics,Percent,2019,,62.2
2019,Normal value,Units,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1],,,Rural,Grade 2/3,Skill: Mathematics,Percent,2019,,73.2
