Year,Observation status,Unit multiplier,COMMENT_OBS,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2014,Normal value,Units,Inpatient and Outpatient expenses,"2016: KIHBS,             2018:  KHHEUS",Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],,Percent,2018,,12.7
2016,Normal value,Units,Inpatient and Outpatient expenses,"2016: KIHBS,             2018:  KHHEUS",Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],,Percent,2018,,8.6
2018,Normal value,Units,Inpatient and Outpatient expenses,"2016: KIHBS,             2018:  KHHEUS",Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],,Percent,2018,,8.0
2014,Normal value,Units,Inpatient and Outpatient expenses,"2016: KIHBS,             2018:  KHHEUS",Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],,Percent,2018,,6.2
2016,Normal value,Units,Inpatient and Outpatient expenses,"2016: KIHBS,             2018:  KHHEUS",Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],,Percent,2018,,4.8
2018,Normal value,Units,Inpatient and Outpatient expenses,"2016: KIHBS,             2018:  KHHEUS",Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],,Percent,2018,,4.9
