Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2016,_L_KE_010401_02,,PT,A,0,2024,,33.8
2022,_L_KE_010401_02,,PT,A,0,2024,,49.6
2024,_L_KE_010401_02,,PT,A,0,2024,,65.5
