Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2022,SE_DEV_ONTRK,,,PT,A,0,,78.0
2022,SE_DEV_ONTRK,,F,PT,A,0,,79.8
2022,SE_DEV_ONTRK,,M,PT,A,0,,76.4
