Year,SEX,URBANISATION,Value
2014,,,52
2019,,,52
2022,,,41
2014,,R,56
2019,,R,42
2022,,R,41
2014,,U,57
2019,,U,50
2022,,U,41
2022,F,,38
2014,M,,57
2019,M,,50
2022,M,,45
