Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,COMMENT_OBS,SOURCE_DETAIL,GeoCode,Value
2014,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,Normal value,Units,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,Normal value,Units,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2016,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,Normal value,Units,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2017,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,Normal value,Units,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2018,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,Normal value,Units,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,Normal value,Units,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2020,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,Normal value,Units,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2021,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,Normal value,Units,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,72.7
2022,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,Normal value,Units,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,72.7
2023,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,Normal value,Units,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2014,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,Normal value,Units,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",,Percent,Normal value,Units,2023,"Kenya is a Member 11 institutions (UNGA, ECOSOC, IMF, IBRD, IFC, AfDB, WTO, FSB, ADB,IDB,UNAC.    63.6 per cent shows 7/11 institutions while 72.7 per cent shows 8/11 institutions",Ministry of Foreign and Diaspora Affairs,,63.6
