Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2014,Forest area as a proportion of total land area [15.1.1],,Percent,,7.07
2015,Forest area as a proportion of total land area [15.1.1],,Percent,,7.16
2016,Forest area as a proportion of total land area [15.1.1],,Percent,,7.21
2017,Forest area as a proportion of total land area [15.1.1],,Percent,,7.28
2018,Forest area as a proportion of total land area [15.1.1],,Percent,,7.28
2019,Forest area as a proportion of total land area [15.1.1],,Percent,,7.14
2020,Forest area as a proportion of total land area [15.1.1],,Percent,,7.14
2021,Forest area as a proportion of total land area [15.1.1],,Percent,,8.83
2022,Forest area as a proportion of total land area [15.1.1],,Percent,,8.83
2023,Forest area as a proportion of total land area [15.1.1],,Percent,,8.83
2024,Forest area as a proportion of total land area [15.1.1],,Percent,,8.83
