Year,SERIES,Reference area,Occupation,UNIT_MEASURE,GeoCode,Value
2014,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 100,000 population",,21.0
2015,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 100,000 population",,21.0
2016,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 100,000 population",,23.4
2017,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 100,000 population",,24.1
2018,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 100,000 population",,25.1
2019,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 100,000 population",,18.0
2020,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 100,000 population",,19.0
2021,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 100,000 population",,19.0
2022,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 100,000 population",,19.0
2023,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Medical doctors,"Per 100,000 population",,19.0
2014,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing personnel,"Per 100,000 population",,165.0
2015,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing personnel,"Per 100,000 population",,151.0
2016,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing personnel,"Per 100,000 population",,167.4
2017,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing personnel,"Per 100,000 population",,174.6
2018,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing personnel,"Per 100,000 population",,187.9
2019,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing personnel,"Per 100,000 population",,91.0
2020,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing personnel,"Per 100,000 population",,81.0
2021,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing personnel,"Per 100,000 population",,99.0
2022,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing personnel,"Per 100,000 population",,99.0
2023,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Nursing personnel,"Per 100,000 population",,125.0
2014,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 100,000 population",,3.0
2015,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 100,000 population",,2.0
2016,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 100,000 population",,2.6
2017,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 100,000 population",,2.7
2018,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 100,000 population",,2.7
2019,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 100,000 population",,2.0
2020,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 100,000 population",,2.0
2021,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 100,000 population",,2.0
2022,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 100,000 population",,2.0
2023,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Dentists,"Per 100,000 population",,2.0
2014,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 100,000 population",,5.0
2015,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 100,000 population",,7.0
2016,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 100,000 population",,7.1
2017,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 100,000 population",,7.4
2018,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 100,000 population",,7.6
2019,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 100,000 population",,3.0
2020,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 100,000 population",,3.0
2021,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 100,000 population",,3.0
2022,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 100,000 population",,3.0
2023,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmacists,"Per 100,000 population",,3.0
2019,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmaceutical Technologists,"Per 100,000 population",,14.0
2020,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmaceutical Technologists,"Per 100,000 population",,14.0
2021,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmaceutical Technologists,"Per 100,000 population",,14.0
2022,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmaceutical Technologists,"Per 100,000 population",,14.0
2023,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]",,Pharmaceutical Technologists,"Per 100,000 population",,14.0
