Year,AGE,URBANISATION,Value
2014,,,362
2019,,,355
2019,,R,374
2019,,U,317
2019,Y15T19,,464
2019,Y20T24,,275
2019,Y25T29,,287
2019,Y30T34,,345
2019,Y35T39,,436
2019,Y40T44,,786
2019,Y45T49,,2219
