Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2019,_L_KE_020C01_02,,IX,,-1.15004
2020,_L_KE_020C01_02,,IX,,-0.591863
2021,_L_KE_020C01_02,,IX,,0.161907
2022,_L_KE_020C01_02,,IX,,2.998686
2023,_L_KE_020C01_02,,IX,,0.93641
2024,_L_KE_020C01_02,,IX,,0.414964
