Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2019,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Kenyan Shillings,,6219.8
2020,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Kenyan Shillings,,15520.1
2021,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Kenyan Shillings,,15981.0
2022,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Kenyan Shillings,,28138.6
2023,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Kenyan Shillings,,33238.8
2024,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Kenyan Shillings,,34387.1
