Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,GeoCode,Value
2014,AG_LND_FRST,,PT,A,0,2023,Economic Survey,,7.07
2015,AG_LND_FRST,,PT,A,0,2023,Economic Survey,,7.16
2016,AG_LND_FRST,,PT,A,0,2023,Economic Survey,,7.21
2017,AG_LND_FRST,,PT,A,0,2023,Economic Survey,,7.28
2018,AG_LND_FRST,,PT,A,0,2023,Economic Survey,,7.28
2019,AG_LND_FRST,,PT,A,0,2023,Economic Survey,,7.14
2020,AG_LND_FRST,,PT,A,0,2023,Economic Survey,,7.14
2021,AG_LND_FRST,,PT,A,0,2023,Economic Survey,,8.83
2022,AG_LND_FRST,,PT,A,0,2023,Economic Survey,,8.83
2023,AG_LND_FRST,,PT,A,0,2023,Economic Survey,,8.83
