Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,GeoCode,Value
2014,VC_VAW_PHYV,,F,,,PT,,22.6
2022,VC_VAW_PHYV,,F,,,PT,,16.0
2014,VC_VAW_PHYV,,F,,R,PT,,23.2
2022,VC_VAW_PHYV,,F,,R,PT,,17.5
2014,VC_VAW_PHYV,,F,,U,PT,,21.8
2022,VC_VAW_PHYV,,F,,U,PT,,13.8
2014,VC_VAW_PHYV,,F,Y15T19,,PT,,16.4
2022,VC_VAW_PHYV,,F,Y15T19,,PT,,9.6
2014,VC_VAW_PHYV,,F,Y20T24,,PT,,23.0
2022,VC_VAW_PHYV,,F,Y20T24,,PT,,16.0
2014,VC_VAW_PHYV,,F,Y25T29,,PT,,25.3
2022,VC_VAW_PHYV,,F,Y25T29,,PT,,18.2
2014,VC_VAW_PHYV,,F,Y30T34,,PT,,22.9
2022,VC_VAW_PHYV,,F,Y30T34,,PT,,17.9
2014,VC_VAW_PHYV,,F,Y35T39,,PT,,22.2
2022,VC_VAW_PHYV,,F,Y35T39,,PT,,17.9
2014,VC_VAW_PHYV,,F,Y40T44,,PT,,8.6
2022,VC_VAW_PHYV,,F,Y40T44,,PT,,13.6
2014,VC_VAW_PHYV,,F,Y45T49,,PT,,20.8
2022,VC_VAW_PHYV,,F,Y45T49,,PT,,13.6
2014,VC_VAW_SEXV,,F,,,PT,,9.8
2022,VC_VAW_SEXV,,F,,,PT,,7.1
2022,VC_VAW_SEXV,,F,,R,PT,,8.0
2022,VC_VAW_SEXV,,F,,U,PT,,5.7
2022,VC_VAW_SEXV,,F,Y15T19,,PT,,6.1
2022,VC_VAW_SEXV,,F,Y20T24,,PT,,6.3
2022,VC_VAW_SEXV,,F,Y25T29,,PT,,7.5
2022,VC_VAW_SEXV,,F,Y30T34,,PT,,7.7
2022,VC_VAW_SEXV,,F,Y35T39,,PT,,7.7
2022,VC_VAW_SEXV,,F,Y40T44,,PT,,6.7
2022,VC_VAW_SEXV,,F,Y45T49,,PT,,6.7
2014,VC_VAW_PSYV,,F,,,PT,,23.8
2022,VC_VAW_PSYV,,F,,,PT,,22.1
2014,VC_VAW_PSYV,,F,,R,PT,,23.4
2022,VC_VAW_PSYV,,F,,R,PT,,24.3
2014,VC_VAW_PSYV,,F,,U,PT,,24.6
2022,VC_VAW_PSYV,,F,,U,PT,,19.0
2014,VC_VAW_PSYV,,F,Y15T19,,PT,,16.0
2022,VC_VAW_PSYV,,F,Y15T19,,PT,,13.0
2014,VC_VAW_PSYV,,F,Y20T24,,PT,,22.5
2022,VC_VAW_PSYV,,F,Y20T24,,PT,,19.6
2014,VC_VAW_PSYV,,F,Y25T29,,PT,,24.8
2022,VC_VAW_PSYV,,F,Y25T29,,PT,,23.8
2014,VC_VAW_PSYV,,F,Y30T34,,PT,,24.1
2022,VC_VAW_PSYV,,F,Y30T34,,PT,,25.0
2014,VC_VAW_PSYV,,F,Y35T39,,PT,,26.1
2022,VC_VAW_PSYV,,F,Y35T39,,PT,,25.0
2014,VC_VAW_PSYV,,F,Y40T44,,PT,,23.2
2022,VC_VAW_PSYV,,F,Y40T44,,PT,,22.5
2014,VC_VAW_PSYV,,F,Y45T49,,PT,,22.6
2022,VC_VAW_PSYV,,F,Y45T49,,PT,,22.5
2014,VC_VAW_MARR,,F,,,PT,,25.4
2022,VC_VAW_MARR,,F,,,PT,,18.8
2014,VC_VAW_MARR,,F,,R,PT,,25.9
2022,VC_VAW_MARR,,F,,R,PT,,20.8
2014,VC_VAW_MARR,,F,,U,PT,,25.0
2022,VC_VAW_MARR,,F,,U,PT,,16.0
2014,VC_VAW_MARR,,F,Y15T19,,PT,,18.9
2022,VC_VAW_MARR,,F,Y15T19,,PT,,13.8
2014,VC_VAW_MARR,,F,Y20T24,,PT,,27.0
2022,VC_VAW_MARR,,F,Y20T24,,PT,,18.6
2014,VC_VAW_MARR,,F,Y25T29,,PT,,28.5
2022,VC_VAW_MARR,,F,Y25T29,,PT,,20.8
2014,VC_VAW_MARR,,F,Y30T34,,PT,,24.9
2022,VC_VAW_MARR,,F,Y30T34,,PT,,20.6
2014,VC_VAW_MARR,,F,Y35T39,,PT,,25.4
2022,VC_VAW_MARR,,F,Y35T39,,PT,,20.6
2014,VC_VAW_MARR,,F,Y40T44,,PT,,21.3
2022,VC_VAW_MARR,,F,Y40T44,,PT,,16.6
2014,VC_VAW_MARR,,F,Y45T49,,PT,,22.6
2022,VC_VAW_MARR,,F,Y45T49,,PT,,16.6
2014,_L_KE_050201_01,,F,,,PT,,32.7
2022,_L_KE_050201_01,,F,,,PT,,28.1
2014,_L_KE_050201_01,,F,,R,PT,,32.3
2022,_L_KE_050201_01,,F,,R,PT,,24.1
2014,_L_KE_050201_01,,F,,U,PT,,33.7
2022,_L_KE_050201_01,,F,,U,PT,,30.9
2014,_L_KE_050201_01,,F,Y15T19,,PT,,25.3
2022,_L_KE_050201_01,,F,Y15T19,,PT,,21.3
2014,_L_KE_050201_01,,F,Y20T24,,PT,,32.3
2022,_L_KE_050201_01,,F,Y20T24,,PT,,26.7
2014,_L_KE_050201_01,,F,Y25T29,,PT,,34.7
2022,_L_KE_050201_01,,F,Y25T29,,PT,,30.5
2014,_L_KE_050201_01,,F,Y30T34,,PT,,34.3
2022,_L_KE_050201_01,,F,Y30T34,,PT,,30.3
2014,_L_KE_050201_01,,F,Y35T39,,PT,,34.4
2022,_L_KE_050201_01,,F,Y35T39,,PT,,30.3
