Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2018,Extent of use of country-owned planning tools by providers of development cooperation - data by provider,,Percent,,70.0
2020,Extent of use of country-owned planning tools by providers of development cooperation - data by provider,,Percent,,99.0
