Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,Compensation of employees/GDP,Economic Survey,SL_EMP_GTOTL,,PT,2023,,27.0
2015,A,0,Compensation of employees/GDP,Economic Survey,SL_EMP_GTOTL,,PT,2023,,26.9
2016,A,0,Compensation of employees/GDP,Economic Survey,SL_EMP_GTOTL,,PT,2023,,28.1
2017,A,0,Compensation of employees/GDP,Economic Survey,SL_EMP_GTOTL,,PT,2023,,28.2
2018,A,0,Compensation of employees/GDP,Economic Survey,SL_EMP_GTOTL,,PT,2023,,28.9
2019,A,0,Compensation of employees/GDP,Economic Survey,SL_EMP_GTOTL,,PT,2023,,28.9
2020,A,0,Compensation of employees/GDP,Economic Survey,SL_EMP_GTOTL,,PT,2023,,28.5
2021,A,0,Compensation of employees/GDP,Economic Survey,SL_EMP_GTOTL,,PT,2023,,27.9
2022,A,0,Compensation of employees/GDP,Economic Survey,SL_EMP_GTOTL,,PT,2023,,27.1
2023,A,0,Compensation of employees/GDP,Economic Survey,SL_EMP_GTOTL,,PT,2023,,26.3
