Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2024,SP_LGL_LNDAGSEC,,,,PT,,66.0
2022,SP_LGL_LNDAGSEC,,F,,PT,,25.4
2022,SP_LGL_LNDAGSEC,,F,R,PT,,33.4
2022,SP_LGL_LNDAGSEC,,F,U,PT,,10.0
2016,SP_GNP_WNOWNS,,F,,PT,,31.7
2016,_L_KE_050a01_01,,M,,PT,,68.3
