Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,GeoCode,Value
2016,ER_H20_LCMGM,,PT,A,0,2020,MWIS--SDG pilot Report,,17.0
2018,ER_H20_LCMGM,,PT,A,0,2020,MWIS--SDG pilot Report,,59.0
2019,ER_H20_LCMGM,,PT,A,0,2020,MWIS--SDG pilot Report,,60.0
2020,ER_H20_LCMGM,,PT,A,0,2020,MWIS--SDG pilot Report,,62.3
