Year,SERIES,Reference area,Age,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2014,Proportion of children living in child-specific multidimensional poverty [1.2.2],,,,Percent,,45.0
2019,Proportion of children living in child-specific multidimensional poverty [1.2.2],,,,Percent,,47.7
2014,Proportion of children living in child-specific multidimensional poverty [1.2.2],,,Rural,Percent,,56.0
2019,Proportion of children living in child-specific multidimensional poverty [1.2.2],,,Rural,Percent,,56.7
2014,Proportion of children living in child-specific multidimensional poverty [1.2.2],,,Urban,Percent,,19.0
2019,Proportion of children living in child-specific multidimensional poverty [1.2.2],,,Urban,Percent,,22.1
2014,Proportion of population living in multidimensional poverty [1.2.2],,,,Percent,,38.9
2019,Proportion of population living in multidimensional poverty [1.2.2],,,,Percent,,50.8
2014,Proportion of population living in multidimensional poverty [1.2.2],,,Rural,Percent,,48.4
2019,Proportion of population living in multidimensional poverty [1.2.2],,,Rural,Percent,,61.9
2014,Proportion of population living in multidimensional poverty [1.2.2],,,Urban,Percent,,20.3
2019,Proportion of population living in multidimensional poverty [1.2.2],,,Urban,Percent,,25.8
2019,Proportion of population living in multidimensional poverty [1.2.2],,under 18 years old,,Percent,,47.7
2019,Proportion of population living in multidimensional poverty [1.2.2],,18-25,,Percent,,53.7
2019,Proportion of population living in multidimensional poverty [1.2.2],,18-34 years,,Percent,,51.0
2019,Proportion of population living in multidimensional poverty [1.2.2],,35-59,,Percent,,57.9
2019,Proportion of population living in multidimensional poverty [1.2.2],,60 years old and over,,Percent,,51.0
