Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2014,FB_CBK_BRCH,,NUMBER,,5.0
2015,FB_CBK_BRCH,,NUMBER,,7.0
2016,FB_CBK_BRCH,,NUMBER,,7.0
2017,FB_CBK_BRCH,,NUMBER,,6.0
2018,FB_CBK_BRCH,,NUMBER,,6.0
2019,FB_CBK_BRCH,,NUMBER,,6.0
2020,FB_CBK_BRCH,,NUMBER,,6.0
2021,FB_CBK_BRCH,,NUMBER,,6.0
2022,FB_CBK_BRCH,,NUMBER,,5.1
2023,FB_CBK_BRCH,,NUMBER,,6.2
2024,FB_CBK_BRCH,,NUMBER,,6.1
2014,FB_ATM_TOTL,,NUMBER,,12.0
2015,FB_ATM_TOTL,,NUMBER,,12.0
2016,FB_ATM_TOTL,,NUMBER,,11.0
2017,FB_ATM_TOTL,,NUMBER,,12.0
2018,FB_ATM_TOTL,,NUMBER,,11.0
2019,FB_ATM_TOTL,,NUMBER,,11.0
2020,FB_ATM_TOTL,,NUMBER,,10.0
2021,FB_ATM_TOTL,,NUMBER,,11.0
2022,FB_ATM_TOTL,,NUMBER,,8.0
2023,FB_ATM_TOTL,,NUMBER,,8.0
2024,FB_ATM_TOTL,,NUMBER,,9.0
