Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2019,Participation rate in formal education and training,,,,Percent,Normal value,Units,2019,,21.9
2019,Participation rate in formal education and training,,,Rural,Percent,Normal value,Units,2019,,14.6
2019,Participation rate in formal education and training,,,Urban,Percent,Normal value,Units,2019,,20.4
2019,Participation rate in formal education and training,,Female,,Percent,Normal value,Units,2019,,23.5
