Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,3151,,PER_1000000_POP,_L_KE_010501_01
2018,3019,,PER_1000000_POP,_L_KE_010501_01
2019,2759,,PER_1000000_POP,_L_KE_010501_01
2021,2399,,PER_1000000_POP,_L_KE_010501_01
2015,1500000,,NUMBER,_L_KE_010501_02
2018,1401058,,NUMBER,_L_KE_010501_02
2019,1313374,,NUMBER,_L_KE_010501_02
2021,1192393,,NUMBER,_L_KE_010501_02
2023,655327,,NUMBER,_L_KE_010501_02
2024,471238,,NUMBER,_L_KE_010501_02
2018,187,,NUMBER,VC_DSR_MORT
2019,305,,NUMBER,VC_DSR_MORT
2021,139,,NUMBER,VC_DSR_MORT
2023,151,,NUMBER,VC_DSR_MORT
2024,146,,NUMBER,VC_DSR_MORT
2018,56,,NUMBER,VC_DSR_IJILN
2019,82,,NUMBER,VC_DSR_IJILN
2021,17,,NUMBER,VC_DSR_IJILN
2024,188,,NUMBER,VC_DSR_IJILN
2019,17,,NUMBER,VC_DSR_MISS
2021,1,,NUMBER,VC_DSR_MISS
2018,269515,,NUMBER,_L_KE_010501_06
2019,396855,,NUMBER,_L_KE_010501_06
2021,158472,,NUMBER,_L_KE_010501_06
2023,109581,,NUMBER,_L_KE_010501_06
2024,58641,,NUMBER,_L_KE_010501_06
2018,1131300,,NUMBER,_L_KE_010501_07
2019,916115,,NUMBER,_L_KE_010501_07
2021,1033764,,NUMBER,_L_KE_010501_07
2023,545595,,NUMBER,_L_KE_010501_07
2024,412263,,NUMBER,_L_KE_010501_07
2018,269515,,NUMBER,_L_KE_010501_03
2019,396855,,NUMBER,_L_KE_010501_03
2021,158472,,NUMBER,_L_KE_010501_03
2023,109581,,NUMBER,_L_KE_010501_03
2024,58641,,NUMBER,_L_KE_010501_03
2018,1131300,,NUMBER,_L_KE_010501_04
2019,916115,,NUMBER,_L_KE_010501_04
2021,1033764,,NUMBER,_L_KE_010501_04
2023,545595,,NUMBER,_L_KE_010501_04
2024,412263,,NUMBER,_L_KE_010501_04
2018,187,,NUMBER,_L_KE_130101_03
2019,305,,NUMBER,_L_KE_130101_03
2021,139,,NUMBER,_L_KE_130101_03
2023,175,,NUMBER,_L_KE_130101_03
2024,315,,NUMBER,_L_KE_130101_03
