Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,93.2,,PT,GF_XPD_GBPC
2016,90.3,,PT,GF_XPD_GBPC
2017,91.5,,PT,GF_XPD_GBPC
2018,92.7,,PT,GF_XPD_GBPC
2019,118.0,,PT,GF_XPD_GBPC
2020,89.9,,PT,GF_XPD_GBPC
2021,112.0,,PT,GF_XPD_GBPC
2022,103.6,,PT,GF_XPD_GBPC
2023,106.8,,PT,GF_XPD_GBPC
2024,113.0,,PT,GF_XPD_GBPC
2015,97.9,,PT,_L_KE_160601_01
2016,98.8,,PT,_L_KE_160601_01
2017,95.5,,PT,_L_KE_160601_01
2018,98.9,,PT,_L_KE_160601_01
2019,121.9,,PT,_L_KE_160601_01
2020,86.7,,PT,_L_KE_160601_01
2021,121.7,,PT,_L_KE_160601_01
2022,112.5,,PT,_L_KE_160601_01
2023,119.6,,PT,_L_KE_160601_01
2024,115.0,,PT,_L_KE_160601_01
2015,83.6,,PT,_L_KE_160601_02
2016,70.7,,PT,_L_KE_160601_02
2017,82.2,,PT,_L_KE_160601_02
2018,73.4,,PT,_L_KE_160601_02
2019,104.4,,PT,_L_KE_160601_02
2020,102.2,,PT,_L_KE_160601_02
2021,86.3,,PT,_L_KE_160601_02
2022,73.7,,PT,_L_KE_160601_02
2023,63.8,,PT,_L_KE_160601_02
2024,100.0,,PT,_L_KE_160601_02
