Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,12.4,,PT,FI_FSI_FSKA
2016,12.8,,PT,FI_FSI_FSKA
2017,11.5,,PT,FI_FSI_FSKA
2018,13.2,,PT,FI_FSI_FSKA
2019,12.8,,PT,FI_FSI_FSKA
2020,12.3,,PT,FI_FSI_FSKA
2021,12.1,,PT,FI_FSI_FSKA
2022,12.0,,PT,FI_FSI_FSKA
2023,10.4,,PT,FI_FSI_FSKA
2024,11.7,,PT,FI_FSI_FSKA
2015,18.2,,PT,FI_FSI_FSKRTC
2016,16.9,,PT,FI_FSI_FSKRTC
2017,14.7,,PT,FI_FSI_FSKRTC
2018,17.2,,PT,FI_FSI_FSKRTC
2019,16.8,,PT,FI_FSI_FSKRTC
2020,16.7,,PT,FI_FSI_FSKRTC
2021,16.7,,PT,FI_FSI_FSKRTC
2022,19.0,,PT,FI_FSI_FSKRTC
2023,18.3,,PT,FI_FSI_FSKRTC
2024,17.1,,PT,FI_FSI_FSKRTC
2015,12.4,,PT,FI_FSI_FSKNL
2016,17.8,,PT,FI_FSI_FSKNL
2017,27.1,,PT,FI_FSI_FSKNL
2018,21.2,,PT,FI_FSI_FSKNL
2019,21.3,,PT,FI_FSI_FSKNL
2020,21.6,,PT,FI_FSI_FSKNL
2021,18.4,,PT,FI_FSI_FSKNL
2022,23.9,,PT,FI_FSI_FSKNL
2023,25.7,,PT,FI_FSI_FSKNL
2024,27.8,,PT,FI_FSI_FSKNL
2015,6.0,,PT,FI_FSI_FSANL
2016,8.6,,PT,FI_FSI_FSANL
2017,9.9,,PT,FI_FSI_FSANL
2018,12.0,,PT,FI_FSI_FSANL
2019,12.0,,PT,FI_FSI_FSANL
2020,14.1,,PT,FI_FSI_FSANL
2021,13.1,,PT,FI_FSI_FSANL
2022,11.1,,PT,FI_FSI_FSANL
2023,12.3,,PT,FI_FSI_FSANL
2024,13.6,,PT,FI_FSI_FSANL
2015,4.0,,PT,FI_FSI_FSERA
2016,3.8,,PT,FI_FSI_FSERA
2017,3.2,,PT,FI_FSI_FSERA
2018,3.4,,PT,FI_FSI_FSERA
2019,3.3,,PT,FI_FSI_FSERA
2020,2.1,,PT,FI_FSI_FSERA
2021,3.3,,PT,FI_FSI_FSERA
2022,3.7,,PT,FI_FSI_FSERA
2023,2.9,,PT,FI_FSI_FSERA
2024,3.2,,PT,FI_FSI_FSERA
2015,2.7,,PT,FI_FSI_FSSNO
2016,6.7,,PT,FI_FSI_FSSNO
2017,2.4,,PT,FI_FSI_FSSNO
2018,3.2,,PT,FI_FSI_FSSNO
2019,-0.3,,PT,FI_FSI_FSSNO
2020,-0.0,,PT,FI_FSI_FSSNO
2021,-1.0,,PT,FI_FSI_FSSNO
2022,-1.6,,PT,FI_FSI_FSSNO
2023,-0.2,,PT,FI_FSI_FSSNO
2024,0.3,,PT,FI_FSI_FSSNO
