Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,63.6,,PT,SG_INT_MBRDEV
2015,63.6,,PT,SG_INT_MBRDEV
2016,63.6,,PT,SG_INT_MBRDEV
2017,63.6,,PT,SG_INT_MBRDEV
2018,63.6,,PT,SG_INT_MBRDEV
2019,63.6,,PT,SG_INT_MBRDEV
2020,63.6,,PT,SG_INT_MBRDEV
2021,72.7,,PT,SG_INT_MBRDEV
2022,72.7,,PT,SG_INT_MBRDEV
2023,63.6,,PT,SG_INT_MBRDEV
2024,72.7,,PT,SG_INT_MBRDEV
2014,63.6,,PT,SG_INT_VRTDEV
2015,63.6,,PT,SG_INT_VRTDEV
2016,63.6,,PT,SG_INT_VRTDEV
2017,63.6,,PT,SG_INT_VRTDEV
2018,63.6,,PT,SG_INT_VRTDEV
2019,63.6,,PT,SG_INT_VRTDEV
2020,63.6,,PT,SG_INT_VRTDEV
2021,72.7,,PT,SG_INT_VRTDEV
2022,72.7,,PT,SG_INT_VRTDEV
2023,63.6,,PT,SG_INT_VRTDEV
2024,72.7,,PT,SG_INT_VRTDEV
