Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,0.9,,PT,ST_GDP_ZS
2015,0.9,,PT,ST_GDP_ZS
2016,0.9,,PT,ST_GDP_ZS
2017,1.0,,PT,ST_GDP_ZS
2018,1.1,,PT,ST_GDP_ZS
2019,1.2,,PT,ST_GDP_ZS
2020,0.7,,PT,ST_GDP_ZS
2021,1.1,,PT,ST_GDP_ZS
2022,1.1,,PT,ST_GDP_ZS
2023,1.3,,PT,ST_GDP_ZS
2024,1.6,,PT,ST_GDP_ZS
2014,-18.7,,PT,_L_KE_080901_01
2015,5.4,,PT,_L_KE_080901_01
2016,6.9,,PT,_L_KE_080901_01
2017,9.4,,PT,_L_KE_080901_01
2018,15.6,,PT,_L_KE_080901_01
2019,14.3,,PT,_L_KE_080901_01
2020,-47.7,,PT,_L_KE_080901_01
2021,52.6,,PT,_L_KE_080901_01
2022,26.8,,PT,_L_KE_080901_01
2023,33.6,,PT,_L_KE_080901_01
2024,25.7,,PT,_L_KE_080901_01
