Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,5.0,,NUMBER,FB_CBK_BRCH
2015,7.0,,NUMBER,FB_CBK_BRCH
2016,7.0,,NUMBER,FB_CBK_BRCH
2017,6.0,,NUMBER,FB_CBK_BRCH
2018,6.0,,NUMBER,FB_CBK_BRCH
2019,6.0,,NUMBER,FB_CBK_BRCH
2020,6.0,,NUMBER,FB_CBK_BRCH
2021,6.0,,NUMBER,FB_CBK_BRCH
2022,5.1,,NUMBER,FB_CBK_BRCH
2023,6.2,,NUMBER,FB_CBK_BRCH
2024,6.1,,NUMBER,FB_CBK_BRCH
2014,12.0,,NUMBER,FB_ATM_TOTL
2015,12.0,,NUMBER,FB_ATM_TOTL
2016,11.0,,NUMBER,FB_ATM_TOTL
2017,12.0,,NUMBER,FB_ATM_TOTL
2018,11.0,,NUMBER,FB_ATM_TOTL
2019,11.0,,NUMBER,FB_ATM_TOTL
2020,10.0,,NUMBER,FB_ATM_TOTL
2021,11.0,,NUMBER,FB_ATM_TOTL
2022,8.0,,NUMBER,FB_ATM_TOTL
2023,8.0,,NUMBER,FB_ATM_TOTL
2024,9.0,,NUMBER,FB_ATM_TOTL
