Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,10.0,,PT,NV_IND_MANF
2015,10.0,,PT,NV_IND_MANF
2016,9.3,,PT,NV_IND_MANF
2017,8.7,,PT,NV_IND_MANF
2018,8.4,,PT,NV_IND_MANF
2019,7.9,,PT,NV_IND_MANF
2020,7.6,,PT,NV_IND_MANF
2021,7.4,,PT,NV_IND_MANF
2022,7.7,,PT,NV_IND_MANF
2023,7.5,,PT,NV_IND_MANF
2024,7.3,,PT,NV_IND_MANF
2014,12511.6,,KES,NV_IND_MANFPC
2015,13600.4,,KES,NV_IND_MANFPC
2016,14773.3,,KES,NV_IND_MANFPC
2017,15735.3,,KES,NV_IND_MANFPC
2018,16926.1,,KES,NV_IND_MANFPC
2019,17001.1,,KES,NV_IND_MANFPC
2020,16687.0,,KES,NV_IND_MANFPC
2021,17819.6,,KES,NV_IND_MANFPC
2022,20636.2,,KES,NV_IND_MANFPC
2023,22308.0,,KES,NV_IND_MANFPC
2024,22438.1,,KES,NV_IND_MANFPC
