Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,26957.1,,KES,DC_TRF_TFDV
2015,28117.5,,KES,DC_TRF_TFDV
2016,29596.7,,KES,DC_TRF_TFDV
2017,25904.0,,KES,DC_TRF_TFDV
2018,27600.1,,KES,DC_TRF_TFDV
2019,19701.8,,KES,DC_TRF_TFDV
2020,19819.7,,KES,DC_TRF_TFDV
2021,31320.4,,KES,DC_TRF_TFDV
2022,31031.2,,KES,DC_TRF_TFDV
2023,23083.5,,KES,DC_TRF_TFDV
2024,22037.2,,KES,DC_TRF_TFDV
2014,6.4,,PT,_L_KE_100b01_01
2015,6.0,,PT,_L_KE_100b01_01
2016,8.5,,PT,_L_KE_100b01_01
2017,8.3,,PT,_L_KE_100b01_01
2018,8.2,,PT,_L_KE_100b01_01
2019,8.4,,PT,_L_KE_100b01_01
2020,8.4,,PT,_L_KE_100b01_01
2021,9.1,,PT,_L_KE_100b01_01
2022,8.0,,PT,_L_KE_100b01_01
2023,8.3,,PT,_L_KE_100b01_01
2024,10.6,,PT,_L_KE_100b01_01
