Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,1.0,,BOOL,SG_REG_CENSUSN
2015,1.0,,BOOL,SG_REG_CENSUSN
2016,1.0,,BOOL,SG_REG_CENSUSN
2017,1.0,,BOOL,SG_REG_CENSUSN
2018,1.0,,BOOL,SG_REG_CENSUSN
2019,1.0,,BOOL,SG_REG_CENSUSN
2020,1.0,,BOOL,SG_REG_CENSUSN
2021,1.0,,BOOL,SG_REG_CENSUSN
2022,1.0,,BOOL,SG_REG_CENSUSN
2023,1.0,,BOOL,SG_REG_CENSUSN
2024,1.0,,BOOL,SG_REG_CENSUSN
2014,70.2,,PT,_L_KE_171902_01
2015,65.8,,PT,_L_KE_171902_01
2016,64.1,,PT,_L_KE_171902_01
2017,60.9,,PT,_L_KE_171902_01
2018,73.4,,PT,_L_KE_171902_01
2019,76.2,,PT,_L_KE_171902_01
2020,79.9,,PT,_L_KE_171902_01
2021,83.2,,PT,_L_KE_171902_01
2022,80.6,,PT,_L_KE_171902_01
2023,76.6,,PT,_L_KE_171902_01
2024,70.3,,PT,_L_KE_171902_01
2014,45.8,,PT,_L_KE_171902_02
2015,45.2,,PT,_L_KE_171902_02
2016,41.9,,PT,_L_KE_171902_02
2017,41.2,,PT,_L_KE_171902_02
2018,40.5,,PT,_L_KE_171902_02
2019,39.1,,PT,_L_KE_171902_02
2020,42.3,,PT,_L_KE_171902_02
2021,52.3,,PT,_L_KE_171902_02
2022,47.6,,PT,_L_KE_171902_02
2023,45.2,,PT,_L_KE_171902_02
2024,44.8,,PT,_L_KE_171902_02
