Year,Value,GeoCode,UNIT_MEASURE,SERIES
2020,105,,NUMBER,_L_KE_161001_01
2021,54,,NUMBER,_L_KE_161001_01
2022,18,,NUMBER,_L_KE_161001_01
2023,64,,NUMBER,_L_KE_161001_01
2024,68,,NUMBER,_L_KE_161001_01
2020,1,,NUMBER,VC_VAW_MTUHRA
2021,4,,NUMBER,VC_VAW_MTUHRA
2022,3,,NUMBER,VC_VAW_MTUHRA
2023,9,,NUMBER,VC_VAW_MTUHRA
2024,4,,NUMBER,VC_VAW_MTUHRA
2020,0,,NUMBER,_L_KE_161001_02
2021,0,,NUMBER,_L_KE_161001_02
2022,0,,NUMBER,_L_KE_161001_02
2023,0,,NUMBER,_L_KE_161001_02
2024,6,,NUMBER,_L_KE_161001_02
2020,2,,NUMBER,VC_VOC_ENFDIS
2021,0,,NUMBER,VC_VOC_ENFDIS
2022,0,,NUMBER,VC_VOC_ENFDIS
2023,1,,NUMBER,VC_VOC_ENFDIS
2024,2,,NUMBER,VC_VOC_ENFDIS
2020,96,,NUMBER,_L_KE_161001_03
2021,36,,NUMBER,_L_KE_161001_03
2022,12,,NUMBER,_L_KE_161001_03
2023,5,,NUMBER,_L_KE_161001_03
2024,25,,NUMBER,_L_KE_161001_03
2020,0,,NUMBER,_L_KE_161001_04
2021,0,,NUMBER,_L_KE_161001_04
2022,0,,NUMBER,_L_KE_161001_04
2023,1,,NUMBER,_L_KE_161001_04
2024,17,,NUMBER,_L_KE_161001_04
2020,6,,NUMBER,_L_KE_161001_05
2021,14,,NUMBER,_L_KE_161001_05
2022,3,,NUMBER,_L_KE_161001_05
2023,48,,NUMBER,_L_KE_161001_05
2024,14,,NUMBER,_L_KE_161001_05
