Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,16.7,,PT,GR_G14_GDP
2015,16.6,,PT,GR_G14_GDP
2016,16.9,,PT,GR_G14_GDP
2017,17.3,,PT,GR_G14_GDP
2018,16.6,,PT,GR_G14_GDP
2019,17.1,,PT,GR_G14_GDP
2020,17.0,,PT,GR_G14_GDP
2021,15.3,,PT,GR_G14_GDP
2022,16.5,,PT,GR_G14_GDP
2023,15.4,,PT,GR_G14_GDP
2016,16.2,,PT,_L_KE_170101_01
2017,15.9,,PT,_L_KE_170101_01
2018,15.1,,PT,_L_KE_170101_01
2019,15.1,,PT,_L_KE_170101_01
2020,14.3,,PT,_L_KE_170101_01
2021,13.6,,PT,_L_KE_170101_01
2022,14.6,,PT,_L_KE_170101_01
2023,13.6,,PT,_L_KE_170101_01
2016,0.0,,PT,_L_KE_170101_02
2017,0.0,,PT,_L_KE_170101_02
2018,0.0,,PT,_L_KE_170101_02
2019,0.0,,PT,_L_KE_170101_02
2020,0.0,,PT,_L_KE_170101_02
2021,0.0,,PT,_L_KE_170101_02
2022,0.0,,PT,_L_KE_170101_02
2023,0.0,,PT,_L_KE_170101_02
2016,0.4,,PT,_L_KE_170101_03
2017,0.3,,PT,_L_KE_170101_03
2018,0.3,,PT,_L_KE_170101_03
2019,0.5,,PT,_L_KE_170101_03
2020,0.2,,PT,_L_KE_170101_03
2021,0.3,,PT,_L_KE_170101_03
2022,0.2,,PT,_L_KE_170101_03
2023,0.2,,PT,_L_KE_170101_03
2016,0.2,,PT,_L_KE_170101_04
2017,1.1,,PT,_L_KE_170101_04
2018,1.2,,PT,_L_KE_170101_04
2019,1.6,,PT,_L_KE_170101_04
2020,2.5,,PT,_L_KE_170101_04
2021,1.4,,PT,_L_KE_170101_04
2022,1.7,,PT,_L_KE_170101_04
2023,1.6,,PT,_L_KE_170101_04
