Year,Value,GeoCode,UNIT_MEASURE,SERIES
2014,2.3,,PT,_L_KE_171301_01
2015,2.4,,PT,_L_KE_171301_01
2016,2.5,,PT,_L_KE_171301_01
2017,2.4,,PT,_L_KE_171301_01
2018,3.0,,PT,_L_KE_171301_01
2019,2.8,,PT,_L_KE_171301_01
2020,3.1,,PT,_L_KE_171301_01
2021,3.4,,PT,_L_KE_171301_01
2022,3.6,,PT,_L_KE_171301_01
2023,3.9,,PT,_L_KE_171301_01
2024,4.2,,PT,_L_KE_171301_01
2014,-10.4,,PT,BN_CAB_XOKA_GD_ZS
2015,-6.9,,PT,BN_CAB_XOKA_GD_ZS
2016,-5.8,,PT,BN_CAB_XOKA_GD_ZS
2017,-7.0,,PT,BN_CAB_XOKA_GD_ZS
2018,-5.4,,PT,BN_CAB_XOKA_GD_ZS
2019,-5.2,,PT,BN_CAB_XOKA_GD_ZS
2020,-3.3,,PT,BN_CAB_XOKA_GD_ZS
2021,-4.6,,PT,BN_CAB_XOKA_GD_ZS
2022,-4.2,,PT,BN_CAB_XOKA_GD_ZS
2023,-2.5,,PT,BN_CAB_XOKA_GD_ZS
2024,-1.3,,PT,BN_CAB_XOKA_GD_ZS
2014,1.3,,PT,BX_KLT_DINV_WD_GD_ZS
2015,0.9,,PT,BX_KLT_DINV_WD_GD_ZS
2016,0.6,,PT,BX_KLT_DINV_WD_GD_ZS
2017,1.6,,PT,BX_KLT_DINV_WD_GD_ZS
2018,0.8,,PT,BX_KLT_DINV_WD_GD_ZS
2019,0.5,,PT,BX_KLT_DINV_WD_GD_ZS
2020,0.0,,PT,BX_KLT_DINV_WD_GD_ZS
2021,0.4,,PT,BX_KLT_DINV_WD_GD_ZS
2022,0.7,,PT,BX_KLT_DINV_WD_GD_ZS
2023,0.5,,PT,BX_KLT_DINV_WD_GD_ZS
2024,0.4,,PT,BX_KLT_DINV_WD_GD_ZS
2014,-3716.9,,USD,BN_KLT_PTXL_CD
2015,155.1,,USD,BN_KLT_PTXL_CD
2016,377.5,,USD,BN_KLT_PTXL_CD
2017,731.1,,USD,BN_KLT_PTXL_CD
2018,-649.0,,USD,BN_KLT_PTXL_CD
2019,-458.1,,USD,BN_KLT_PTXL_CD
2020,1313.3,,USD,BN_KLT_PTXL_CD
2021,199.5,,USD,BN_KLT_PTXL_CD
2022,706.7,,USD,BN_KLT_PTXL_CD
2023,463.3,,USD,BN_KLT_PTXL_CD
2024,129.0,,USD,BN_KLT_PTXL_CD
2014,5.0,,MO,_L_KE_171301_09
2015,4.8,,MO,_L_KE_171301_09
2016,5.0,,MO,_L_KE_171301_09
2017,5.0,,MO,_L_KE_171301_09
2018,5.3,,MO,_L_KE_171301_09
2019,5.5,,MO,_L_KE_171301_09
2020,4.9,,MO,_L_KE_171301_09
2021,5.2,,MO,_L_KE_171301_09
2022,4.0,,MO,_L_KE_171301_09
2023,3.4,,MO,_L_KE_171301_09
2024,4.4,,MO,_L_KE_171301_09
2014,15.2,,PT,_L_KE_171301_02
2015,6.8,,PT,_L_KE_171301_02
2016,9.0,,PT,_L_KE_171301_02
2017,12.3,,PT,_L_KE_171301_02
2018,19.8,,PT,_L_KE_171301_02
2019,41.7,,PT,_L_KE_171301_02
2020,23.8,,PT,_L_KE_171301_02
2021,17.5,,PT,_L_KE_171301_02
2022,18.4,,PT,_L_KE_171301_02
2023,20.5,,PT,_L_KE_171301_02
2024,30.6,,PT,_L_KE_171301_02
2014,10.3,,PT,DT_DOD_DECT_GN_ZS
2015,46.2,,PT,DT_DOD_DECT_GN_ZS
2016,53.4,,PT,DT_DOD_DECT_GN_ZS
2017,60.3,,PT,DT_DOD_DECT_GN_ZS
2018,62.7,,PT,DT_DOD_DECT_GN_ZS
2019,64.1,,PT,DT_DOD_DECT_GN_ZS
2020,71.0,,PT,DT_DOD_DECT_GN_ZS
