Year,SERIES,Reference area,Sex,Age,Occupation,Disability status,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2023,Ratio for female members of judiciary compared to the  National distribution,,Female,,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,Persons with disability,Ratio,Normal value,Units,2023,,0.0
2020,Ratio for female members of judiciary compared to the  National distribution,,Female,18 to 44 years old,Judges,,Ratio,Normal value,Units,2023,,0.258
2021,Ratio for female members of judiciary compared to the  National distribution,,Female,18 to 44 years old,Judges,,Ratio,Normal value,Units,2023,,0.1951
2022,Ratio for female members of judiciary compared to the  National distribution,,Female,18 to 44 years old,Judges,,Ratio,Normal value,Units,2023,,0.373
2023,Ratio for female members of judiciary compared to the  National distribution,,Female,18 to 44 years old,Judges,,Ratio,Normal value,Units,2023,,0.7647
2020,Ratio for female members of judiciary compared to the  National distribution,,Female,18 to 44 years old,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,Normal value,Units,2023,,0.0
2021,Ratio for female members of judiciary compared to the  National distribution,,Female,18 to 44 years old,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,Normal value,Units,2023,,0.0
2022,Ratio for female members of judiciary compared to the  National distribution,,Female,18 to 44 years old,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,Normal value,Units,2023,,0.0
2023,Ratio for female members of judiciary compared to the  National distribution,,Female,18 to 44 years old,Registrars included in 2619 - Legal Professionals Not Elsewhere Classified,,Ratio,Normal value,Units,2023,,0.1147
2020,"Ratio for female members of legislature compared to the  National distribution, Senate",,Female,,,,Ratio,Normal value,Units,2023,,0.622
2021,"Ratio for female members of legislature compared to the  National distribution, Senate",,Female,,,,Ratio,Normal value,Units,2023,,0.6521
2022,"Ratio for female members of legislature compared to the  National distribution, Senate",,Female,,,,Ratio,Normal value,Units,2023,,0.6229
2023,"Ratio for female members of legislature compared to the  National distribution, Senate",,Female,,,,Ratio,Normal value,Units,2023,,0.6228
2020,"Ratio for female members of legislature compared to the  National distribution, Parliament",,Female,,,,Ratio,Normal value,Units,2023,,0.4264
2021,"Ratio for female members of legislature compared to the  National distribution, Parliament",,Female,,,,Ratio,Normal value,Units,2023,,0.4268
2022,"Ratio for female members of legislature compared to the  National distribution, Parliament",,Female,,,,Ratio,Normal value,Units,2023,,0.4613
2023,"Ratio for female members of legislature compared to the  National distribution, Parliament",,Female,,,,Ratio,Normal value,Units,2023,,0.4669
2020,"Ratio for female members of legislature compared to the  National distribution, County Assembly",,Female,,,,Ratio,Normal value,Units,2023,,0.6687
2021,"Ratio for female members of legislature compared to the  National distribution, County Assembly",,Female,,,,Ratio,Normal value,Units,2023,,0.6835
2022,"Ratio for female members of legislature compared to the  National distribution, County Assembly",,Female,,,,Ratio,Normal value,Units,2023,,0.6612
2023,"Ratio for female members of legislature compared to the  National distribution, County Assembly",,Female,,,,Ratio,Normal value,Units,2023,,0.6611
2020,"Ratio for female members of legislature compared to the  National distribution, Speakers",,Female,,,,Ratio,Normal value,Units,2023,,0.162
2021,"Ratio for female members of legislature compared to the  National distribution, Speakers",,Female,,,,Ratio,Normal value,Units,2023,,0.1621
2022,"Ratio for female members of legislature compared to the  National distribution, Speakers",,Female,,,,Ratio,Normal value,Units,2023,,0.0406
2023,"Ratio for female members of legislature compared to the  National distribution, Speakers",,Female,,,,Ratio,Normal value,Units,2023,,0.0406
2020,"Ratio for female members of legislature compared to the  National distribution, Clerks",,Female,,,,Ratio,Normal value,Units,2023,,0.0405
2021,"Ratio for female members of legislature compared to the  National distribution, Clerks",,Female,,,,Ratio,Normal value,Units,2023,,0.0405
2022,"Ratio for female members of legislature compared to the  National distribution, Clerks",,Female,,,,Ratio,Normal value,Units,2023,,0.1622
2023,"Ratio for female members of legislature compared to the  National distribution, Clerks",,Female,,,,Ratio,Normal value,Units,2023,,0.0811
2014,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",,Female,,,,Percent,Normal value,Units,2023,,26.9
2015,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",,Female,,,,Percent,Normal value,Units,2023,,26.9
2016,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",,Female,,,,Percent,Normal value,Units,2023,,26.9
2017,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",,Female,,,,Percent,Normal value,Units,2023,,31.3
2018,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",,Female,,,,Percent,Normal value,Units,2023,,31.3
2019,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",,Female,,,,Percent,Normal value,Units,2023,,31.3
2020,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",,Female,,,,Percent,Normal value,Units,2023,,31.3
2021,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",,Female,,,,Percent,Normal value,Units,2023,,32.8
2022,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",,Female,,,,Percent,Normal value,Units,2023,,31.3
2023,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",,Female,,,,Percent,Normal value,Units,2023,,31.3
