Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,GeoCode,Value
2014,SG_REG_BRTH,,,,PT,A,0,2022,Registration here refers to those whose birth was notified,"KPHC, MOH , Civil Registration",,66.9
2019,SG_REG_BRTH,,,,PT,A,0,2022,Registration here refers to those whose birth was notified,"KPHC, MOH , Civil Registration",,89.3
2022,SG_REG_BRTH,,,,PT,A,0,2022,Registration here refers to those whose birth was notified,"KPHC, MOH , Civil Registration",,76.0
2022,SG_REG_BRTH,,,R,PT,A,0,2022,Registration here refers to those whose birth was notified,"KPHC, MOH , Civil Registration",,73.2
2022,SG_REG_BRTH,,,U,PT,A,0,2022,Registration here refers to those whose birth was notified,"KPHC, MOH , Civil Registration",,81.3
2022,SG_REG_BRTH,,F,,PT,A,0,2022,Registration here refers to those whose birth was notified,"KPHC, MOH , Civil Registration",,75.6
2022,SG_REG_BRTH,,M,,PT,A,0,2022,Registration here refers to those whose birth was notified,"KPHC, MOH , Civil Registration",,76.3
