Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2014,EG_EGY_PRIM,,T_OIL_PER_USD,A,0,2024,,2e-05
2015,EG_EGY_PRIM,,T_OIL_PER_USD,A,0,2024,,2.1e-05
2016,EG_EGY_PRIM,,T_OIL_PER_USD,A,0,2024,,2e-05
2017,EG_EGY_PRIM,,T_OIL_PER_USD,A,0,2024,,1.8e-05
2018,EG_EGY_PRIM,,T_OIL_PER_USD,A,0,2024,,1.8e-05
2019,EG_EGY_PRIM,,T_OIL_PER_USD,A,0,2024,,1.8e-05
2020,EG_EGY_PRIM,,T_OIL_PER_USD,A,0,2024,,3.4e-05
2021,EG_EGY_PRIM,,T_OIL_PER_USD,A,0,2024,,3.4e-05
2022,EG_EGY_PRIM,,T_OIL_PER_USD,A,0,2024,,2e-05
2023,EG_EGY_PRIM,,T_OIL_PER_USD,A,0,2024,,1.5e-05
2024,EG_EGY_PRIM,,T_OIL_PER_USD,A,0,2024,,2e-05
