Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2014,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,Normal value,Units,2024,,0
2015,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,Normal value,Units,2024,,0
2016,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,Normal value,Units,2024,,1
2017,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,Normal value,Units,2024,,1
2018,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,Normal value,Units,2024,,1
2019,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,Normal value,Units,2024,,1
2020,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,Normal value,Units,2024,,1
2021,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,Normal value,Units,2024,,1
2022,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,Normal value,Units,2024,,1
2023,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,Normal value,Units,2024,,1
2024,Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,Normal value,Units,2024,,1
