Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Proportion of population with access to electricity,,Percent,,33.8
2022,Proportion of population with access to electricity,,Percent,,49.6
2024,Proportion of population with access to electricity,,Percent,,65.5
